id,name,landmgr,defined,Orgtype,Orgtype2,AgencyID,Acres,FireOcc,FirePtDensity,FireProbMean,EcoCentralityMean,EcoCentralitySD,EcoregionL3Majority,EcoregL3_PercSierraNevada,NLCDMajority,NLCD_PercForest,NLCD_PercShrub,CentroidLat,CentroidLon,joint_activities,good_information,fire_spreading,operational_capacity,relevant_partnership_current_conditions
1,1,0,1,Federal Agency,Federal Agency - Science/Policy/Regulatory,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.17,3.5,3,2.76,3.83
2,2,1,1,State Agency,State Agency,CalFire,21418201.62,26,0.001213921,0.015095211,0.139582956,0.060154922,Mojave Basin and Range,0.013555687,Shrub/Scrub,0.01922424,0.77445324,35.6554985,-116.8199997,3.44,3.43,2.71,2.83,3.71
3,3,0,1,NGO,NGO,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.75,3.75,2.36,2.81,2
4,4,1,1,Federal Agency,Federal Agency - Land Manager,USFS,594693.244,2,0.003363078,0.148271035,0.104041346,0.034143867,Sierra Nevada,0.707016191,Shrub/Scrub,0.15070778,0.65855536,36.6147995,-118.1679993,3.18,3.2,2.36,2.82,3.64
5,5,1,1,Federal Agency,Federal Agency - Land Manager,NPS,865877.9848,2,0.002309794,0.272386901,0.095744024,0.026104989,Sierra Nevada,0.994958233,Evergreen Forest,0.43177557,0.31399788,36.7117996,-118.586998,3.51,3.63,2.295,2.815,3.63
6,6,0,1,Federal Agency,Federal Agency - Land Manager,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.22,3.4,2.71,2.81,3.73
7,7,0,1,NGO,NGO,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.6,3.4,2.63,2.67,2.17
8,8,0,1,NGO,NGO,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.4,3.2,2.63,2.67,2
9,9,0,1,NGO,NGO,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.2,3.38,2.63,2.76,3.56
10,10,0,1,Federal Agency,Federal Agency - Science/Policy/Regulatory,,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,3.2,3.4,2.36,2.67,3
