ego,alter,network_level,land,communication,ecology,education,mapping,operations,air_quality,mechanical_treatments,prescribed_fire,restoration,strength,satisfaction,quality,fire_spread,operational_capacity,relevance
1,19,SEKI - Defined,0,0,0,0,0,1,0,0,0,0,Coordination,Somewhat satisfied,Extremely good,High,Somewhat confident,Extremely relevant
1,18,SEKI - Defined,0,1,0,1,1,1,0,1,1,1,Coordination,Somewhat satisfied,Extremely good,High,Somewhat confident,Extremely relevant
1,2,SEKI - Defined,0,0,0,0,1,1,0,1,1,0,Collaboration,Extremely satisfied,Extremely good,High,Somewhat confident,Extremely relevant
1,13,SEKI - Defined,0,1,0,1,1,1,0,1,1,1,Communication,Somewhat satisfied,Extremely good,High,Somewhat confident,Extremely relevant
1,20,SEKI - Undefined,0,0,0,0,0,0,0,0,1,0,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
1,21,SEKI - Undefined,0,1,0,1,0,0,0,1,1,0,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
1,22,SEKI - Undefined,0,0,0,0,0,0,0,1,1,0,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Somewhat relevant
1,10,SEKI - Undefined,0,1,0,1,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Somewhat relevant
1,23,SEKI - Undefined,0,0,0,0,0,0,0,1,0,1,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Somewhat relevant
1,11,SEKI - Undefined,0,0,0,0,1,1,0,1,1,1,Communication,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
1,24,SEKI - Undefined,0,0,0,0,1,0,0,1,1,1,Coordination,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
2,19,SEKI - Defined,1,1,1,1,1,1,0,1,1,0,Collaboration,Extremely satisfied,Somewhat good,High,Completely confident,Extremely relevant
2,12,SEKI - Defined,1,1,1,1,1,1,0,1,1,0,Collaboration,Extremely satisfied,Somewhat good,High,Completely confident,Extremely relevant
2,4,SEKI - Defined,1,1,1,1,1,1,0,1,1,0,Collaboration,Extremely satisfied,Somewhat good,High,Completely confident,Extremely relevant
2,13,SEKI - Defined,1,1,1,1,1,0,0,1,1,0,Collaboration,Extremely satisfied,Somewhat good,High,Completely confident,Extremely relevant
2,1,SEKI - Defined,0,1,1,1,1,1,0,1,1,0,Collaboration,Extremely satisfied,Somewhat good,High,Completely confident,Extremely relevant
2,20,SEKI - Undefined,0,0,0,0,0,0,1,0,1,0,Coordination,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
2,11,SEKI - Undefined,0,1,1,1,1,1,0,1,1,0,NA,Extremely satisfied,NA,NA,NA,Somewhat relevant
2,25,SEKI - Undefined,0,0,0,0,0,0,0,1,1,1,Communication,Extremely satisfied,Somewhat useful,NA,NA,Slightly relevant
2,26,SEKI - Undefined,0,0,0,0,0,0,0,1,1,1,Communication,Extremely satisfied,Somewhat useful,NA,NA,Slightly relevant
3,27,SEKI - Defined,0,1,1,0,0,0,1,1,1,0,Collaboration,Somewhat satisfied,Extremely good,High,Somewhat confident,Extremely relevant
3,5,SEKI - Defined,0,0,1,0,0,0,0,0,1,0,Communication,Somewhat satisfied,Extremely good,Moderate,Somewhat confident,Somewhat relevant
3,12,SEKI - Defined,0,1,1,0,0,0,0,1,1,0,Communication,Somewhat satisfied,Somewhat good,Moderate,Somewhat confident,Extremely relevant
3,16,SEKI - Defined,0,0,1,0,0,0,0,0,1,0,Communication,Extremely satisfied,Somewhat good,Moderate,Somewhat confident,Extremely relevant
3,33,SEKI - Defined,0,0,1,0,0,0,0,0,1,0,Communication,Extremely satisfied,Somewhat good,Moderate,Slightly confident,Extremely relevant
3,34,SEKI - Defined,0,0,1,0,0,0,0,0,1,0,Communication,Extremely satisfied,Somewhat good,Moderate,Slightly confident,Extremely relevant
3,36,SEKI - Defined,0,1,1,0,0,0,1,1,1,0,Collaboration,Somewhat satisfied,Extremely good,Moderate,Slightly confident,Extremely relevant
3,20,SEKI - Undefined,0,0,0,0,0,0,1,0,1,0,Collaboration,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
3,28,SEKI - Undefined,0,1,1,1,0,0,0,1,1,0,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Slightly relevant
3,29,SEKI - Undefined,0,1,1,1,0,0,1,1,1,0,Collaboration,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
3,30,SEKI - Undefined,0,0,1,0,0,0,0,0,1,0,Communication,Somewhat satisfied,Not applicable,NA,NA,Slightly relevant
3,31,SEKI - Undefined,0,1,1,1,0,0,0,0,1,0,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Slightly relevant
3,7,SEKI - Undefined,0,1,1,1,0,0,1,1,1,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Slightly relevant
3,32,SEKI - Undefined,0,1,1,1,0,0,1,0,1,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Somewhat relevant
3,22,SEKI - Undefined,0,1,0,1,0,0,0,0,1,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Slightly relevant
3,8,SEKI - Undefined,0,0,0,0,0,0,0,0,1,0,Collaboration,Somewhat satisfied,Somewhat useful,NA,NA,Slightly relevant
3,11,SEKI - Undefined,0,1,1,1,0,0,1,1,1,0,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
3,24,SEKI - Undefined,0,1,1,1,0,0,1,1,1,0,Collaboration,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
3,15,SEKI - Undefined,0,1,0,1,0,0,0,1,1,0,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
3,35,SEKI - Undefined,0,1,1,1,0,0,1,1,1,0,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
4,19,SEKI - Defined,1,0,1,0,0,1,1,1,1,0,Collaboration,Somewhat satisfied,Extremely good,High,Completely confident,Extremely relevant
4,12,SEKI - Defined,1,0,1,0,0,1,1,1,1,0,Collaboration,Extremely satisfied,Extremely good,High,Completely confident,Extremely relevant
4,13,SEKI - Defined,1,0,1,0,0,1,1,1,1,0,Collaboration,Extremely satisfied,Extremely good,High,Completely confident,Extremely relevant
4,11,SEKI - Undefined,0,0,1,0,0,1,1,1,1,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Extremely relevant
4,25,SEKI - Undefined,0,0,1,0,0,1,1,1,1,0,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
4,26,SEKI - Undefined,0,0,1,0,0,1,1,1,1,0,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
5,27,SEKI - Defined,1,0,0,0,0,1,0,1,1,0,Collaboration,NA,NA,NA,NA,NA
5,37,SEKI - Defined,1,0,0,0,0,1,0,1,1,0,Collaboration,NA,NA,NA,NA,NA
5,4,SEKI - Defined,1,1,0,0,0,1,1,0,0,0,Collaboration,NA,NA,NA,NA,NA
5,13,SEKI - Defined,1,1,0,0,0,1,1,0,0,0,Collaboration,NA,NA,NA,NA,NA
5,16,SEKI - Defined,1,1,1,0,0,1,1,1,1,1,Collaboration,NA,NA,NA,NA,NA
5,33,SEKI - Defined,1,1,1,0,0,1,1,1,1,1,Collaboration,NA,NA,NA,NA,NA
5,34,SEKI - Defined,1,1,0,0,0,1,1,0,0,0,Collaboration,NA,NA,NA,NA,NA
5,36,SEKI - Defined,1,1,0,0,0,1,1,0,0,0,Collaboration,NA,NA,NA,NA,NA
5,18,SEKI - Defined,0,0,0,0,0,1,0,0,1,0,Communication,Extremely satisfied,NA,NA,NA,NA
5,20,SEKI - Undefined,0,0,0,0,0,0,1,0,0,0,Communication,NA,NA,NA,NA,NA
5,30,SEKI - Undefined,0,0,1,0,0,0,0,1,1,0,Collaboration,NA,NA,NA,NA,NA
5,32,SEKI - Undefined,0,0,1,0,0,0,0,0,1,0,Communication,NA,NA,NA,NA,NA
5,10,SEKI - Undefined,0,0,1,0,0,0,0,0,0,0,Collaboration,NA,NA,NA,NA,NA
5,11,SEKI - Undefined,0,1,0,1,0,0,1,0,0,0,Communication,NA,NA,NA,NA,NA
5,15,SEKI - Undefined,0,1,0,1,0,0,1,0,0,0,Communication,NA,NA,NA,NA,NA
5,25,SEKI - Undefined,0,1,0,1,0,0,0,0,0,0,Communication,NA,NA,NA,NA,NA
5,26,SEKI - Undefined,0,1,0,1,0,0,0,0,0,0,Communication,NA,NA,NA,NA,NA
6,5,SEKI - Defined,0,1,1,0,0,0,0,0,1,0,Collaboration,Somewhat satisfied,Extremely good,Moderate,Somewhat confident,Extremely relevant
6,12,SEKI - Defined,0,0,0,0,0,1,0,0,1,0,Communication,Somewhat satisfied,Extremely good,Moderate,Completely confident,Extremely relevant
6,20,SEKI - Undefined,0,1,0,1,0,0,0,0,1,0,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
6,30,SEKI - Undefined,0,0,1,1,0,0,0,1,1,0,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
6,32,SEKI - Undefined,0,1,0,1,0,0,0,0,0,0,NA,NA,Somewhat useful,NA,NA,Not relevant at all
7,27,SEKI - Defined,0,1,0,0,1,0,0,0,0,0,Communication,Extremely satisfied,Extremely good,Extreme,Slightly confident,Extremely relevant
7,5,SEKI - Defined,0,1,0,0,1,0,0,0,0,0,Communication,Extremely satisfied,Extremely good,Low,Slightly confident,Extremely relevant
7,12,SEKI - Defined,0,1,0,0,0,0,0,0,0,0,Communication,Somewhat satisfied,Somewhat good,Moderate,Slightly confident,Extremely relevant
7,4,SEKI - Defined,0,1,0,0,0,0,0,0,0,0,Communication,Somewhat satisfied,Not applicable,Low,Slightly confident,Extremely relevant
7,13,SEKI - Defined,0,1,1,0,1,0,0,0,1,0,NA,Somewhat satisfied,Somewhat good,Low,Slightly confident,Somewhat relevant
7,16,SEKI - Defined,0,1,0,0,0,0,0,0,0,0,Communication,Somewhat satisfied,Somewhat good,Low,Slightly confident,Extremely relevant
7,33,SEKI - Defined,0,1,0,1,0,0,0,1,1,1,NA,Somewhat satisfied,Somewhat good,High,Slightly confident,Somewhat relevant
7,17,SEKI - Defined,0,1,0,1,0,0,0,1,1,1,NA,Somewhat satisfied,Somewhat good,High,Slightly confident,Extremely relevant
7,34,SEKI - Defined,0,1,0,0,0,0,0,0,0,0,Communication,Somewhat satisfied,Not applicable,Moderate,Slightly confident,Extremely relevant
7,36,SEKI - Defined,0,1,0,0,1,0,0,0,0,0,Collaboration,Somewhat satisfied,Not applicable,Moderate,Slightly confident,Extremely relevant
7,20,SEKI - Undefined,0,1,0,1,0,0,0,0,0,0,Communication,Somewhat satisfied,Extremely useful,NA,NA,Slightly relevant
7,21,SEKI - Undefined,0,1,1,1,1,0,0,0,0,0,Communication,Somewhat satisfied,Extremely useful,NA,NA,Slightly relevant
7,28,SEKI - Undefined,0,1,1,1,0,0,0,0,0,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Not relevant at all
7,3,SEKI - Undefined,0,1,1,1,0,0,0,0,0,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Not relevant at all
7,29,SEKI - Undefined,0,1,1,1,1,0,0,0,0,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Not relevant at all
7,30,SEKI - Undefined,0,1,1,1,1,0,0,0,0,0,Coordination,Extremely satisfied,Extremely useful,NA,NA,Not relevant at all
7,31,SEKI - Undefined,0,0,0,1,0,0,0,0,0,0,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Not relevant at all
7,32,SEKI - Undefined,0,1,1,1,0,0,0,0,0,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Not relevant at all
7,22,SEKI - Undefined,0,1,1,1,0,0,0,0,0,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Not relevant at all
7,8,SEKI - Undefined,0,1,1,1,0,0,0,0,0,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Not relevant at all
7,23,SEKI - Undefined,0,1,1,1,0,0,0,0,0,0,Communication,Somewhat satisfied,Not applicable,NA,NA,Not relevant at all
7,11,SEKI - Undefined,0,1,1,1,0,0,0,0,0,0,Communication,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
7,24,SEKI - Undefined,0,1,1,1,1,0,0,0,0,0,Coordination,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
7,15,SEKI - Undefined,0,1,1,1,0,0,0,0,0,0,Communication,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
7,35,SEKI - Undefined,0,1,1,1,0,0,0,0,0,0,Communication,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
7,25,SEKI - Undefined,0,1,1,1,0,0,0,0,0,0,Coordination,Extremely satisfied,Extremely useful,NA,NA,Extremely relevant
8,27,SEKI - Defined,0,0,1,0,0,0,0,0,1,0,Communication,Somewhat satisfied,Not applicable,NA,Slightly confident,NA
8,2,SEKI - Defined,0,0,1,0,0,0,0,0,1,0,Communication,Somewhat satisfied,Not applicable,NA,Slightly confident,NA
8,37,SEKI - Defined,0,0,1,0,0,0,0,0,1,0,Communication,Somewhat satisfied,Not applicable,NA,Slightly confident,NA
8,5,SEKI - Defined,0,0,1,0,0,0,0,0,1,0,Communication,Extremely satisfied,Somewhat good,Low,Somewhat confident,Somewhat relevant
8,12,SEKI - Defined,0,0,1,0,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Somewhat good,High,Slightly confident,Somewhat relevant
8,4,SEKI - Defined,0,0,1,0,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Somewhat good,Moderate,Slightly confident,Somewhat relevant
8,13,SEKI - Defined,0,0,1,0,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Somewhat good,Moderate,Slightly confident,Somewhat relevant
8,16,SEKI - Defined,0,0,1,0,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Somewhat good,Moderate,Slightly confident,Somewhat relevant
8,33,SEKI - Defined,0,0,1,0,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Somewhat good,Moderate,Slightly confident,Somewhat relevant
8,17,SEKI - Defined,0,0,1,0,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Somewhat good,Moderate,Slightly confident,Somewhat relevant
8,34,SEKI - Defined,0,0,1,0,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Somewhat good,Moderate,Slightly confident,Somewhat relevant
8,36,SEKI - Defined,0,0,1,0,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Somewhat good,Low,Slightly confident,Somewhat relevant
8,20,SEKI - Undefined,0,0,0,0,0,0,1,0,0,0,Coordination,Somewhat satisfied,Not applicable,NA,NA,Somewhat relevant
8,28,SEKI - Undefined,0,1,1,1,0,0,0,1,1,1,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Slightly relevant
8,3,SEKI - Undefined,0,1,1,1,0,0,0,1,1,1,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Slightly relevant
